question,answer
What is the role of a wicketkeeper?,A wicketkeeper is a player who stands behind the stumps to catch the ball and attempt dismissals such as stumpings and catches.
What is an all-rounder?,An all-rounder is a cricketer who excels in both batting and bowling providing balance to the team.
What is a wide ball?,A wide ball is a delivery that is too far from the batsman to be legally played and results in an extra run for the batting team.
What is a free hit?,A free hit is awarded after a front-foot no-ball allowing the batsman to play without the risk of being dismissed except by a run-out.
What is an umpire review?,An umpire review is when the third umpire uses technology to review on-field decisions for accuracy.
What is DRS in cricket?,The Decision Review System is a technology-assisted review process that allows players to challenge umpiring decisions.
What is ball tampering?,Ball tampering is an illegal act of altering the ball’s condition to gain an unfair advantage.
What is an inside edge?,An inside edge is when the ball hits the inner part of the bat before going towards the stumps or fielders.
What is an outside edge?,An outside edge is when the ball hits the outer part of the bat and travels towards the slip fielders.
What is a half-century?,A half-century is when a batsman scores 50 or more runs in a single innings.
What is a googly?,A googly is a deceptive delivery bowled by a leg-spinner that turns in the opposite direction than expected.
What is a doosra?,A doosra is a delivery by an off-spinner that turns in the opposite direction than a traditional off-spin ball.
What is a carrom ball?,A carrom ball is a variation used by spin bowlers where the ball is flicked with fingers to create unexpected movement.
What is a knuckleball?,A knuckleball is a slower delivery where the ball is held with the knuckles to reduce spin and deceive the batsman.
What is death overs?,Death overs refer to the final few overs in a limited-overs match where aggressive batting and precise bowling are crucial.
What is the powerplay rule in ODI?,In ODIs the first 10 overs have fielding restrictions allowing only two fielders outside the inner circle.
What is a slip fielder?,A slip fielder stands behind the batsman near the wicketkeeper to catch edges off the bat.
What is a gully fielder?,A gully fielder stands between the slip and point positions to catch deflections from the bat.
What is a short leg?,A short leg fielder stands close to the batsman on the leg side to take quick catches.
What is a third man?,A third man is a fielding position behind the batsman on the off-side near the boundary.
What is a fine leg?,A fine leg is a fielding position behind the batsman on the leg-side near the boundary.
What is an overpitched delivery?,An overpitched delivery is a ball that is bowled too full allowing the batsman to drive easily.
What is a slow ball?,A slow ball is a variation used by fast bowlers to deceive batsmen by reducing speed unexpectedly.
What is a super over?,A super over is a tiebreaker in limited-overs cricket where both teams play an additional over to determine the winner.
What is a reserve day?,A reserve day is an extra day allocated for completing a match if weather conditions cause interruptions.
What is a Test match?,A Test match is the longest format of cricket played over five days with two innings per team.
What is an ODI match?,An ODI match is a limited-overs format where each team faces a maximum of 50 overs.
What is a T20 match?,A T20 match is the shortest format of international cricket where each team plays a maximum of 20 overs.
What is a nightwatchman?,A nightwatchman is a lower-order batsman sent to protect top-order batsmen from difficult bowling conditions.
What is a part-time bowler?,A part-time bowler is a player whose primary role is batting but occasionally bowls in matches.
What is a declaration in Test cricket?,A declaration is when the batting team voluntarily ends their innings to set a target or force a result.
What is reverse swing?,Reverse swing occurs when an older ball moves unpredictably in the air due to wear and tear.
What is conventional swing?,Conventional swing happens when a new ball moves through the air due to seam position and atmospheric conditions.
What is seam bowling?,Seam bowling is a type of fast bowling where the bowler uses the ball’s seam to generate movement off the pitch.
What is off-spin?,Off-spin is a type of spin bowling where the ball turns from off-side to leg-side for a right-handed batsman.
What is leg-spin?,Leg-spin is a type of spin bowling where the ball turns from leg-side to off-side for a right-handed batsman.
What is the ICC?,The International Cricket Council is the global governing body of cricket that organizes international tournaments.
What is the IPL?,The Indian Premier League is a professional T20 cricket league played annually in India.
What is the BBL?,The Big Bash League is an Australian professional T20 cricket league.
What is the Ashes?,The Ashes is a Test cricket series played between England and Australia.
What is a beamer?,A beamer is an illegal delivery that reaches the batsman above waist height without bouncing.
What is a switch hit?,A switch hit is a batting shot where the batsman changes grip and stance before hitting the ball.
What is a ramp shot?,A ramp shot is when a batsman guides the ball over the wicketkeeper or slip fielders using an open bat face.
What is a scoop shot?,A scoop shot is when a batsman lifts the ball over the wicketkeeper or short fine leg.
What is a paddle sweep?,A paddle sweep is a shot where the batsman gently deflects the ball towards fine leg.
What is a reverse sweep?,A reverse sweep is when a batsman plays a sweep shot in the opposite direction using a reversed grip.
What is a lofted shot?,A lofted shot is when the batsman intentionally hits the ball in the air to clear fielders.
What is a quick single?,A quick single is when batsmen run immediately after hitting the ball to score a run quickly.
What is a run-out?,A run-out occurs when the fielding team hits the stumps before the batsman reaches the crease while attempting a run.
What is an appeal in cricket?,An appeal is when the fielding team requests the umpire to give a batsman out.
What is sledging in cricket?,Sledging is a tactic where players verbally intimidate opponents to break their concentration.
